+-------------------------------+------------+----------+-----------------+------------+----------+
| species                       | env        | estimate | group           | prevalence | selected |
| limacina_sp                   | water_temp | 0.00000  | Pteropod        | 0.2802     | FALSE    |
| clausocalanus_laticeps        | water_temp | 0.06207  | Copepod         | 0.2775     | TRUE     |
| ctenocalanus_sp_cf_citer      | water_temp | 0.36799  | Copepod         | 0.1998     | TRUE     |
| thysanoessa_macrura           | water_temp | -0.21427 | Krill           | 0.1911     | TRUE     |
| calanoides_acutus             | water_temp | -1.22774 | Copepod         | 0.1624     | TRUE     |
| ostracoda_indet               | water_temp | 0.92646  | Other           | 0.1587     | TRUE     |
| euphausiidae_furcilia_indet   | water_temp | 0.74711  | Krill           | 0.1233     | TRUE     |
| hyperiidae_indet              | water_temp | 0.84827  | Amphipod        | 0.1171     | TRUE     |
| chaetognath_indet             | water_temp | 0.50149  | Chaetognath     | 0.1168     | TRUE     |
| metridia_lucens               | water_temp | 0.40147  | Copepod         | 0.1060     | TRUE     |
| themisto_gaudichaudii         | water_temp | 0.00000  | Amphipod        | 0.1044     | FALSE    |
| neocalanus_tonsus             | water_temp | 2.17164  | Copepod         | 0.0930     | TRUE     |
| rhincalanus_gigas             | water_temp | -0.55585 | Copepod         | 0.0908     | TRUE     |
| radiozoa                      | water_temp | -0.76948 | Other           | 0.0741     | TRUE     |
| egg_indet                     | water_temp | -0.70501 | Other           | 0.0739     | TRUE     |
| thysanoessa_macrura_f6        | water_temp | 0.00000  | Krill           | 0.0728     | FALSE    |
| ctenocalanus_sp_cf_citer_2    | water_temp | 1.04206  | Copepod         | 0.0657     | TRUE     |
| thysanoessa_macrura_furcilia  | water_temp | -0.26377 | Krill           | 0.0655     | TRUE     |
| thysanoessa_macrura_f1        | water_temp | 0.00000  | Krill           | 0.0631     | FALSE    |
| euphausiidae_calyptopis_indet | water_temp | 0.40600  | Krill           | 0.0613     | TRUE     |
| eukrohnia_hamata              | water_temp | 0.43650  | Chaetognath     | 0.0545     | TRUE     |
| oithona_similis               | PAR        | 0.00000  | Copepod         | 0.9206     | FALSE    |
| small_calanoid_copepods       | PAR        | -0.14290 | Copepod         | 0.8941     | TRUE     |
| fritillaria_sp                | PAR        | 0.00000  | Appendicularian | 0.5238     | FALSE    |
| foraminifera                  | PAR        | 0.08425  | Foraminifera    | 0.5150     | TRUE     |
| calanus_simillimus            | PAR        | -0.56732 | Copepod         | 0.4924     | TRUE     |
| oikopleura_sp                 | PAR        | -0.16947 | Appendicularian | 0.4227     | TRUE     |
| clausocalanus_brevipes        | PAR        | -0.31264 | Copepod         | 0.3716     | TRUE     |
| copepod_nauplius_indet        | PAR        | 0.32498  | Copepod         | 0.3308     | TRUE     |
| rhincalanus_gigas_nauplius    | PAR        | 0.04395  | Copepod         | 0.2821     | TRUE     |
| limacina_sp                   | PAR        | -0.41596 | Pteropod        | 0.2802     | TRUE     |
| clausocalanus_laticeps        | PAR        | -0.52659 | Copepod         | 0.2775     | TRUE     |
| ctenocalanus_sp_cf_citer      | PAR        | -0.11926 | Copepod         | 0.1998     | TRUE     |
| thysanoessa_macrura           | PAR        | -0.17757 | Krill           | 0.1911     | TRUE     |
| calanoides_acutus             | PAR        | -0.37493 | Copepod         | 0.1624     | TRUE     |
| ostracoda_indet               | PAR        | -2.05761 | Other           | 0.1587     | TRUE     |
| euphausiidae_furcilia_indet   | PAR        | -0.54005 | Krill           | 0.1233     | TRUE     |
| hyperiidae_indet              | PAR        | -0.19319 | Amphipod        | 0.1171     | TRUE     |
| chaetognath_indet             | PAR        | -0.31361 | Chaetognath     | 0.1168     | TRUE     |
| metridia_lucens               | PAR        | -4.22452 | Copepod         | 0.1060     | TRUE     |
| themisto_gaudichaudii         | PAR        | -0.00191 | Amphipod        | 0.1044     | TRUE     |
| neocalanus_tonsus             | PAR        | -0.42487 | Copepod         | 0.0930     | TRUE     |
| rhincalanus_gigas             | PAR        | -0.24229 | Copepod         | 0.0908     | TRUE     |
| radiozoa                      | PAR        | 0.13462  | Other           | 0.0741     | TRUE     |
| egg_indet                     | PAR        | 0.22302  | Other           | 0.0739     | TRUE     |
| thysanoessa_macrura_f6        | PAR        | -0.44472 | Krill           | 0.0728     | TRUE     |
| ctenocalanus_sp_cf_citer_2    | PAR        | 0.00000  | Copepod         | 0.0657     | FALSE    |
| thysanoessa_macrura_furcilia  | PAR        | -0.72375 | Krill           | 0.0655     | TRUE     |
| thysanoessa_macrura_f1        | PAR        | -0.46522 | Krill           | 0.0631     | TRUE     |
| euphausiidae_calyptopis_indet | PAR        | -0.36058 | Krill           | 0.0613     | TRUE     |
| eukrohnia_hamata              | PAR        | -0.38944 | Chaetognath     | 0.0545     | TRUE     |
+-------------------------------+------------+----------+-----------------+------------+----------+
