+-------------------------------+-------------------------------+-----------------+-----------------+----------+--------+--------+-------+-------+------+------------+-------+----------+----------+--------------+---------------+
| sp1                           | sp2                           | grp1            | grp2            | theta    | prev1  | prev2  | n11   | n10   | n01  | same_group | n00   | min_cell | selected | years_shared | years_jaccard |
| clausocalanus_brevipes        | euphausiidae_calyptopis_indet | Copepod         | Krill           | 0.49023  | 0.3716 | 0.0613 | 1216  | 9925  | 621  | FALSE      | 18221 | 621      | TRUE     | 16           | 0.842         |
| euphausiidae_furcilia_indet   | egg_indet                     | Krill           | Other           | -0.48053 | 0.1233 | 0.0739 | 196   | 3502  | 2020 | FALSE      | 24265 | 196      | TRUE     | 17           | 0.895         |
| small_calanoid_copepods       | rhincalanus_gigas_nauplius    | Copepod         | Copepod         | 0.47957  | 0.8941 | 0.2821 | 8283  | 18526 | 176  | TRUE       | 2998  | 176      | TRUE     | 20           | 0.870         |
| calanoides_acutus             | metridia_lucens               | Copepod         | Copepod         | 0.47546  | 0.1624 | 0.1060 | 813   | 4055  | 2366 | TRUE       | 22749 | 813      | TRUE     | 19           | 0.864         |
| oithona_similis               | thysanoessa_macrura_f6        | Copepod         | Krill           | -0.47331 | 0.9206 | 0.0728 | 2162  | 25440 | 22   | FALSE      | 2359  | 22       | TRUE     | 15           | 0.714         |
| rhincalanus_gigas_nauplius    | thysanoessa_macrura_furcilia  | Copepod         | Krill           | 0.47096  | 0.2821 | 0.0655 | 649   | 7810  | 1316 | FALSE      | 20208 | 649      | TRUE     | 15           | 0.714         |
| calanus_simillimus            | rhincalanus_gigas_nauplius    | Copepod         | Copepod         | 0.46742  | 0.4924 | 0.2821 | 5879  | 8886  | 2580 | TRUE       | 12638 | 2580     | TRUE     | 20           | 0.952         |
| ostracoda_indet               | euphausiidae_furcilia_indet   | Other           | Krill           | 0.46101  | 0.1587 | 0.1233 | 1290  | 3469  | 2408 | FALSE      | 22816 | 1290     | TRUE     | 19           | 0.950         |
| oithona_similis               | radiozoa                      | Copepod         | Other           | -0.46047 | 0.9206 | 0.0741 | 2206  | 25396 | 17   | FALSE      | 2364  | 17       | TRUE     | 12           | 0.571         |
| hyperiidae_indet              | metridia_lucens               | Amphipod        | Copepod         | 0.44972  | 0.1171 | 0.1060 | 950   | 2560  | 2229 | FALSE      | 24244 | 950      | TRUE     | 19           | 0.905         |
| rhincalanus_gigas             | euphausiidae_calyptopis_indet | Copepod         | Krill           | 0.44751  | 0.0908 | 0.0613 | 305   | 2417  | 1532 | FALSE      | 25729 | 305      | TRUE     | 19           | 0.950         |
| calanus_simillimus            | thysanoessa_macrura_furcilia  | Copepod         | Krill           | 0.44113  | 0.4924 | 0.0655 | 1287  | 13478 | 678  | FALSE      | 14540 | 678      | TRUE     | 15           | 0.682         |
| small_calanoid_copepods       | copepod_nauplius_indet        | Copepod         | Copepod         | 0.43336  | 0.8941 | 0.3308 | 9563  | 17246 | 355  | TRUE       | 2819  | 355      | TRUE     | 16           | 0.696         |
| fritillaria_sp                | neocalanus_tonsus             | Appendicularian | Copepod         | -0.43249 | 0.5238 | 0.0930 | 1129  | 14577 | 1658 | FALSE      | 12619 | 1129     | TRUE     | 16           | 0.800         |
| thysanoessa_macrura_f6        | eukrohnia_hamata              | Krill           | Chaetognath     | -0.43025 | 0.0728 | 0.0545 | 104   | 2080  | 1530 | FALSE      | 26269 | 104      | TRUE     | 15           | 0.750         |
| chaetognath_indet             | neocalanus_tonsus             | Chaetognath     | Copepod         | 0.42255  | 0.1168 | 0.0930 | 709   | 2794  | 2078 | FALSE      | 24402 | 709      | TRUE     | 16           | 0.800         |
| rhincalanus_gigas_nauplius    | chaetognath_indet             | Copepod         | Chaetognath     | -0.41870 | 0.2821 | 0.1168 | 796   | 7663  | 2707 | FALSE      | 18817 | 796      | TRUE     | 19           | 0.905         |
| neocalanus_tonsus             | thysanoessa_macrura_f1        | Copepod         | Krill           | 0.41478  | 0.0930 | 0.0631 | 307   | 2480  | 1585 | FALSE      | 25611 | 307      | TRUE     | 15           | 0.938         |
| neocalanus_tonsus             | radiozoa                      | Copepod         | Other           | -0.41220 | 0.0930 | 0.0741 | 126   | 2661  | 2097 | FALSE      | 25099 | 126      | TRUE     | 10           | 0.556         |
| oithona_similis               | foraminifera                  | Copepod         | Foraminifera    | 0.40789  | 0.9206 | 0.5150 | 14503 | 13099 | 937  | FALSE      | 1444  | 937      | TRUE     | 21           | 1.000         |
| small_calanoid_copepods       | clausocalanus_laticeps        | Copepod         | Copepod         | -0.40697 | 0.8941 | 0.2775 | 7962  | 18847 | 358  | TRUE       | 2816  | 358      | TRUE     | 16           | 0.696         |
| small_calanoid_copepods       | chaetognath_indet             | Copepod         | Chaetognath     | 0.40599  | 0.8941 | 0.1168 | 3367  | 23442 | 136  | FALSE      | 3038  | 136      | TRUE     | 20           | 0.870         |
| foraminifera                  | ctenocalanus_sp_cf_citer_2    | Foraminifera    | Copepod         | 0.40538  | 0.5150 | 0.0657 | 1387  | 14053 | 583  | FALSE      | 13960 | 583      | TRUE     | 6            | 0.286         |
| ostracoda_indet               | chaetognath_indet             | Other           | Chaetognath     | 0.40375  | 0.1587 | 0.1168 | 1177  | 3582  | 2326 | FALSE      | 22898 | 1177     | TRUE     | 19           | 0.905         |
| clausocalanus_brevipes        | thysanoessa_macrura_f1        | Copepod         | Krill           | 0.40241  | 0.3716 | 0.0631 | 1260  | 9881  | 632  | FALSE      | 18210 | 632      | TRUE     | 15           | 0.938         |
| oithona_similis               | rhincalanus_gigas_nauplius    | Copepod         | Copepod         | 0.39717  | 0.9206 | 0.2821 | 8421  | 19181 | 38   | TRUE       | 2343  | 38       | TRUE     | 20           | 0.952         |
| oithona_similis               | themisto_gaudichaudii         | Copepod         | Amphipod        | 0.39261  | 0.9206 | 0.1044 | 3034  | 24568 | 97   | FALSE      | 2284  | 97       | TRUE     | 21           | 0.875         |
| calanus_simillimus            | hyperiidae_indet              | Copepod         | Amphipod        | 0.38889  | 0.4924 | 0.1171 | 2297  | 12468 | 1213 | FALSE      | 14005 | 1213     | TRUE     | 20           | 0.909         |
| rhincalanus_gigas             | thysanoessa_macrura_f6        | Copepod         | Krill           | -0.38306 | 0.0908 | 0.0728 | 241   | 2481  | 1943 | FALSE      | 25318 | 241      | TRUE     | 15           | 0.750         |
| calanus_simillimus            | ctenocalanus_sp_cf_citer      | Copepod         | Copepod         | 0.38267  | 0.4924 | 0.1998 | 3745  | 11020 | 2246 | TRUE       | 12972 | 2246     | TRUE     | 12           | 0.545         |
| foraminifera                  | thysanoessa_macrura_f1        | Foraminifera    | Krill           | 0.38115  | 0.5150 | 0.0631 | 1353  | 14087 | 539  | FALSE      | 14004 | 539      | TRUE     | 15           | 0.714         |
| copepod_nauplius_indet        | thysanoessa_macrura           | Copepod         | Krill           | -0.37563 | 0.3308 | 0.1911 | 1294  | 8624  | 4437 | FALSE      | 15628 | 1294     | TRUE     | 16           | 0.727         |
| clausocalanus_brevipes        | rhincalanus_gigas_nauplius    | Copepod         | Copepod         | 0.37092  | 0.3716 | 0.2821 | 4510  | 6631  | 3949 | TRUE       | 14893 | 3949     | TRUE     | 16           | 0.800         |
| foraminifera                  | copepod_nauplius_indet        | Foraminifera    | Copepod         | 0.36618  | 0.5150 | 0.3308 | 6259  | 9181  | 3659 | FALSE      | 10884 | 3659     | TRUE     | 16           | 0.762         |
| rhincalanus_gigas_nauplius    | hyperiidae_indet              | Copepod         | Amphipod        | -0.36440 | 0.2821 | 0.1171 | 799   | 7660  | 2711 | FALSE      | 18813 | 799      | TRUE     | 20           | 0.952         |
| neocalanus_tonsus             | eukrohnia_hamata              | Copepod         | Chaetognath     | 0.36233  | 0.0930 | 0.0545 | 259   | 2528  | 1375 | FALSE      | 25821 | 259      | TRUE     | 16           | 0.800         |
| euphausiidae_furcilia_indet   | hyperiidae_indet              | Krill           | Amphipod        | 0.36039  | 0.1233 | 0.1171 | 881   | 2817  | 2629 | FALSE      | 23656 | 881      | TRUE     | 19           | 0.905         |
| foraminifera                  | thysanoessa_macrura_f6        | Foraminifera    | Krill           | -0.34824 | 0.5150 | 0.0728 | 1106  | 14334 | 1078 | FALSE      | 13465 | 1078     | TRUE     | 15           | 0.714         |
| fritillaria_sp                | clausocalanus_brevipes        | Appendicularian | Copepod         | 0.34431  | 0.5238 | 0.3716 | 7425  | 8281  | 3716 | FALSE      | 10561 | 3716     | TRUE     | 16           | 0.800         |
| foraminifera                  | neocalanus_tonsus             | Foraminifera    | Copepod         | -0.34425 | 0.5150 | 0.0930 | 1394  | 14046 | 1393 | FALSE      | 13150 | 1393     | TRUE     | 16           | 0.762         |
| limacina_sp                   | euphausiidae_calyptopis_indet | Pteropod        | Krill           | -0.34147 | 0.2802 | 0.0613 | 608   | 7792  | 1229 | FALSE      | 20354 | 608      | TRUE     | 19           | 0.864         |
| oithona_similis               | rhincalanus_gigas             | Copepod         | Copepod         | -0.34009 | 0.9206 | 0.0908 | 2704  | 24898 | 18   | TRUE       | 2363  | 18       | TRUE     | 20           | 0.952         |
| themisto_gaudichaudii         | neocalanus_tonsus             | Amphipod        | Copepod         | -0.33977 | 0.1044 | 0.0930 | 180   | 2951  | 2607 | FALSE      | 24245 | 180      | TRUE     | 16           | 0.667         |
| metridia_lucens               | rhincalanus_gigas             | Copepod         | Copepod         | 0.33913  | 0.1060 | 0.0908 | 522   | 2657  | 2200 | TRUE       | 24604 | 522      | TRUE     | 19           | 0.950         |
| neocalanus_tonsus             | ctenocalanus_sp_cf_citer_2    | Copepod         | Copepod         | 0.33827  | 0.0930 | 0.0657 | 202   | 2585  | 1768 | TRUE       | 25428 | 202      | TRUE     | 6            | 0.375         |
| rhincalanus_gigas             | egg_indet                     | Copepod         | Other           | 0.33338  | 0.0908 | 0.0739 | 395   | 2327  | 1821 | FALSE      | 25440 | 395      | TRUE     | 17           | 0.850         |
| fritillaria_sp                | euphausiidae_furcilia_indet   | Appendicularian | Krill           | -0.31982 | 0.5238 | 0.1233 | 1875  | 13831 | 1823 | FALSE      | 12454 | 1823     | TRUE     | 19           | 0.950         |
| themisto_gaudichaudii         | thysanoessa_macrura_furcilia  | Amphipod        | Krill           | 0.30925  | 0.1044 | 0.0655 | 328   | 2803  | 1637 | FALSE      | 25215 | 328      | TRUE     | 16           | 0.667         |
| foraminifera                  | clausocalanus_brevipes        | Foraminifera    | Copepod         | 0.30683  | 0.5150 | 0.3716 | 6809  | 8631  | 4332 | FALSE      | 10211 | 4332     | TRUE     | 16           | 0.762         |
| neocalanus_tonsus             | euphausiidae_calyptopis_indet | Copepod         | Krill           | 0.30513  | 0.0930 | 0.0613 | 471   | 2316  | 1366 | FALSE      | 25830 | 471      | TRUE     | 16           | 0.842         |
| hyperiidae_indet              | chaetognath_indet             | Amphipod        | Chaetognath     | 0.30481  | 0.1171 | 0.1168 | 848   | 2662  | 2655 | FALSE      | 23818 | 848      | TRUE     | 20           | 0.952         |
| limacina_sp                   | clausocalanus_laticeps        | Pteropod        | Copepod         | 0.30437  | 0.2802 | 0.2775 | 3688  | 4712  | 4632 | FALSE      | 16951 | 3688     | TRUE     | 16           | 0.727         |
| rhincalanus_gigas_nauplius    | clausocalanus_laticeps        | Copepod         | Copepod         | 0.30240  | 0.2821 | 0.2775 | 3546  | 4913  | 4774 | TRUE       | 16750 | 3546     | TRUE     | 16           | 0.800         |
| oithona_similis               | clausocalanus_brevipes        | Copepod         | Copepod         | -0.29927 | 0.9206 | 0.3716 | 10906 | 16696 | 235  | TRUE       | 2146  | 235      | TRUE     | 16           | 0.762         |
| euphausiidae_furcilia_indet   | thysanoessa_macrura_f1        | Krill           | Krill           | 0.29704  | 0.1233 | 0.0631 | 487   | 3211  | 1405 | TRUE       | 24880 | 487      | TRUE     | 15           | 0.789         |
| chaetognath_indet             | euphausiidae_calyptopis_indet | Chaetognath     | Krill           | 0.29676  | 0.1168 | 0.0613 | 491   | 3012  | 1346 | FALSE      | 25134 | 491      | TRUE     | 19           | 0.950         |
| oithona_similis               | ctenocalanus_sp_cf_citer_2    | Copepod         | Copepod         | -0.29651 | 0.9206 | 0.0657 | 1969  | 25633 | 1    | TRUE       | 2380  | 1        | TRUE     | 6            | 0.286         |
| oithona_similis               | euphausiidae_calyptopis_indet | Copepod         | Krill           | -0.29630 | 0.9206 | 0.0613 | 1757  | 25845 | 80   | FALSE      | 2301  | 80       | TRUE     | 19           | 0.905         |
| thysanoessa_macrura           | ostracoda_indet               | Krill           | Other           | 0.29562  | 0.1911 | 0.1587 | 1153  | 4578  | 3606 | FALSE      | 20646 | 1153     | TRUE     | 20           | 0.909         |
| fritillaria_sp                | thysanoessa_macrura_f6        | Appendicularian | Krill           | 0.29490  | 0.5238 | 0.0728 | 1472  | 14234 | 712  | FALSE      | 13565 | 712      | TRUE     | 15           | 0.750         |
| hyperiidae_indet              | neocalanus_tonsus             | Amphipod        | Copepod         | 0.29464  | 0.1171 | 0.0930 | 669   | 2841  | 2118 | FALSE      | 24355 | 669      | TRUE     | 16           | 0.762         |
| thysanoessa_macrura_furcilia  | euphausiidae_calyptopis_indet | Krill           | Krill           | -0.29395 | 0.0655 | 0.0613 | 57    | 1908  | 1780 | TRUE       | 26238 | 57       | TRUE     | 14           | 0.667         |
| rhincalanus_gigas_nauplius    | radiozoa                      | Copepod         | Other           | -0.29356 | 0.2821 | 0.0741 | 1037  | 7422  | 1186 | FALSE      | 20338 | 1037     | TRUE     | 12           | 0.600         |
| clausocalanus_laticeps        | thysanoessa_macrura_f6        | Copepod         | Krill           | 0.29342  | 0.2775 | 0.0728 | 1161  | 7159  | 1023 | FALSE      | 20640 | 1023     | TRUE     | 15           | 0.938         |
| fritillaria_sp                | foraminifera                  | Appendicularian | Foraminifera    | -0.29139 | 0.5238 | 0.5150 | 8199  | 7507  | 7241 | FALSE      | 7036  | 7036     | TRUE     | 20           | 0.952         |
| small_calanoid_copepods       | themisto_gaudichaudii         | Copepod         | Amphipod        | 0.29134  | 0.8941 | 0.1044 | 2974  | 23835 | 157  | FALSE      | 3017  | 157      | TRUE     | 23           | 0.958         |
| oikopleura_sp                 | rhincalanus_gigas             | Appendicularian | Copepod         | 0.29060  | 0.4227 | 0.0908 | 1629  | 11044 | 1093 | FALSE      | 16217 | 1093     | TRUE     | 20           | 0.952         |
| clausocalanus_brevipes        | calanoides_acutus             | Copepod         | Copepod         | 0.28138  | 0.3716 | 0.1624 | 2837  | 8304  | 2031 | TRUE       | 16811 | 2031     | TRUE     | 16           | 0.727         |
| euphausiidae_furcilia_indet   | radiozoa                      | Krill           | Other           | -0.26790 | 0.1233 | 0.0741 | 230   | 3468  | 1993 | FALSE      | 24292 | 230      | TRUE     | 12           | 0.632         |
| hyperiidae_indet              | thysanoessa_macrura_furcilia  | Amphipod        | Krill           | 0.26459  | 0.1171 | 0.0655 | 324   | 3186  | 1641 | FALSE      | 24832 | 324      | TRUE     | 15           | 0.682         |
| fritillaria_sp                | calanoides_acutus             | Appendicularian | Copepod         | 0.26283  | 0.5238 | 0.1624 | 3470  | 12236 | 1398 | FALSE      | 12879 | 1398     | TRUE     | 20           | 0.909         |
| ostracoda_indet               | thysanoessa_macrura_f1        | Other           | Krill           | 0.26189  | 0.1587 | 0.0631 | 604   | 4155  | 1288 | FALSE      | 23936 | 604      | TRUE     | 15           | 0.750         |
| fritillaria_sp                | chaetognath_indet             | Appendicularian | Chaetognath     | 0.26122  | 0.5238 | 0.1168 | 2085  | 13621 | 1418 | FALSE      | 12859 | 1418     | TRUE     | 19           | 0.905         |
| calanus_simillimus            | thysanoessa_macrura_f1        | Copepod         | Krill           | 0.26079  | 0.4924 | 0.0631 | 1317  | 13448 | 575  | FALSE      | 14643 | 575      | TRUE     | 15           | 0.714         |
| calanus_simillimus            | chaetognath_indet             | Copepod         | Chaetognath     | 0.26068  | 0.4924 | 0.1168 | 2212  | 12553 | 1291 | FALSE      | 13927 | 1291     | TRUE     | 19           | 0.864         |
| oikopleura_sp                 | hyperiidae_indet              | Appendicularian | Amphipod        | 0.26057  | 0.4227 | 0.1171 | 2017  | 10656 | 1493 | FALSE      | 15817 | 1493     | TRUE     | 21           | 1.000         |
| limacina_sp                   | thysanoessa_macrura           | Pteropod        | Krill           | 0.25811  | 0.2802 | 0.1911 | 1983  | 6417  | 3748 | FALSE      | 17835 | 1983     | TRUE     | 21           | 0.913         |
| oikopleura_sp                 | euphausiidae_calyptopis_indet | Appendicularian | Krill           | 0.25779  | 0.4227 | 0.0613 | 1132  | 11541 | 705  | FALSE      | 16605 | 705      | TRUE     | 19           | 0.905         |
| oikopleura_sp                 | eukrohnia_hamata              | Appendicularian | Chaetognath     | 0.25610  | 0.4227 | 0.0545 | 932   | 11741 | 702  | FALSE      | 16608 | 702      | TRUE     | 20           | 0.952         |
| clausocalanus_laticeps        | ctenocalanus_sp_cf_citer_2    | Copepod         | Copepod         | -0.25601 | 0.2775 | 0.0657 | 558   | 7762  | 1412 | TRUE       | 20251 | 558      | TRUE     | 6            | 0.375         |
| thysanoessa_macrura_furcilia  | eukrohnia_hamata              | Krill           | Chaetognath     | 0.25479  | 0.0655 | 0.0545 | 233   | 1732  | 1401 | FALSE      | 26617 | 233      | TRUE     | 15           | 0.714         |
| limacina_sp                   | eukrohnia_hamata              | Pteropod        | Chaetognath     | 0.25211  | 0.2802 | 0.0545 | 723   | 7677  | 911  | FALSE      | 20672 | 723      | TRUE     | 20           | 0.909         |
| foraminifera                  | limacina_sp                   | Foraminifera    | Pteropod        | 0.25165  | 0.5150 | 0.2802 | 5006  | 10434 | 3394 | FALSE      | 11149 | 3394     | TRUE     | 21           | 0.955         |
| calanus_simillimus            | euphausiidae_calyptopis_indet | Copepod         | Krill           | -0.25058 | 0.4924 | 0.0613 | 990   | 13775 | 847  | FALSE      | 14371 | 847      | TRUE     | 19           | 0.905         |
| fritillaria_sp                | oikopleura_sp                 | Appendicularian | Appendicularian | 0.24987  | 0.5238 | 0.4227 | 7670  | 8036  | 5003 | TRUE       | 9274  | 5003     | TRUE     | 20           | 0.952         |
| calanus_simillimus            | oikopleura_sp                 | Copepod         | Appendicularian | 0.24395  | 0.4924 | 0.4227 | 7535  | 7230  | 5138 | FALSE      | 10080 | 5138     | TRUE     | 20           | 0.909         |
| small_calanoid_copepods       | thysanoessa_macrura_furcilia  | Copepod         | Krill           | -0.24146 | 0.8941 | 0.0655 | 1703  | 25106 | 262  | FALSE      | 2912  | 262      | TRUE     | 16           | 0.696         |
| thysanoessa_macrura           | euphausiidae_calyptopis_indet | Krill           | Krill           | -0.23946 | 0.1911 | 0.0613 | 268   | 5463  | 1569 | TRUE       | 22683 | 268      | TRUE     | 19           | 0.864         |
| clausocalanus_brevipes        | eukrohnia_hamata              | Copepod         | Chaetognath     | -0.23760 | 0.3716 | 0.0545 | 624   | 10517 | 1010 | FALSE      | 17832 | 624      | TRUE     | 16           | 0.800         |
| rhincalanus_gigas_nauplius    | euphausiidae_calyptopis_indet | Copepod         | Krill           | -0.23437 | 0.2821 | 0.0613 | 446   | 8013  | 1391 | FALSE      | 20133 | 446      | TRUE     | 19           | 0.950         |
| oikopleura_sp                 | metridia_lucens               | Appendicularian | Copepod         | -0.23391 | 0.4227 | 0.1060 | 1718  | 10955 | 1461 | FALSE      | 15849 | 1461     | TRUE     | 19           | 0.905         |
| oithona_similis               | ostracoda_indet               | Copepod         | Other           | 0.23099  | 0.9206 | 0.1587 | 4578  | 23024 | 181  | FALSE      | 2200  | 181      | TRUE     | 20           | 0.952         |
| oikopleura_sp                 | limacina_sp                   | Appendicularian | Pteropod        | 0.23017  | 0.4227 | 0.2802 | 4573  | 8100  | 3827 | FALSE      | 13483 | 3827     | TRUE     | 21           | 0.955         |
| copepod_nauplius_indet        | clausocalanus_laticeps        | Copepod         | Copepod         | 0.22887  | 0.3308 | 0.2775 | 3863  | 6055  | 4457 | TRUE       | 15608 | 3863     | TRUE     | 16           | 1.000         |
| limacina_sp                   | chaetognath_indet             | Pteropod        | Chaetognath     | 0.22647  | 0.2802 | 0.1168 | 1517  | 6883  | 1986 | FALSE      | 19597 | 1517     | TRUE     | 20           | 0.909         |
| calanus_simillimus            | copepod_nauplius_indet        | Copepod         | Copepod         | -0.22218 | 0.4924 | 0.3308 | 5522  | 9243  | 4396 | TRUE       | 10822 | 4396     | TRUE     | 16           | 0.762         |
| small_calanoid_copepods       | limacina_sp                   | Copepod         | Pteropod        | 0.22154  | 0.8941 | 0.2802 | 8037  | 18772 | 363  | FALSE      | 2811  | 363      | TRUE     | 21           | 0.875         |
| hyperiidae_indet              | egg_indet                     | Amphipod        | Other           | 0.22082  | 0.1171 | 0.0739 | 336   | 3174  | 1880 | FALSE      | 24593 | 336      | TRUE     | 17           | 0.810         |
| fritillaria_sp                | eukrohnia_hamata              | Appendicularian | Chaetognath     | -0.21998 | 0.5238 | 0.0545 | 704   | 15002 | 930  | FALSE      | 13347 | 704      | TRUE     | 20           | 1.000         |
| clausocalanus_laticeps        | hyperiidae_indet              | Copepod         | Amphipod        | 0.21880  | 0.2775 | 0.1171 | 1576  | 6744  | 1934 | FALSE      | 19729 | 1576     | TRUE     | 16           | 0.762         |
| copepod_nauplius_indet        | rhincalanus_gigas             | Copepod         | Copepod         | -0.21739 | 0.3308 | 0.0908 | 1063  | 8855  | 1659 | TRUE       | 18406 | 1063     | TRUE     | 16           | 0.800         |
| rhincalanus_gigas_nauplius    | limacina_sp                   | Copepod         | Pteropod        | 0.21380  | 0.2821 | 0.2802 | 3122  | 5337  | 5278 | FALSE      | 16246 | 3122     | TRUE     | 20           | 0.909         |
| hyperiidae_indet              | euphausiidae_calyptopis_indet | Amphipod        | Krill           | 0.21342  | 0.1171 | 0.0613 | 489   | 3021  | 1348 | FALSE      | 25125 | 489      | TRUE     | 19           | 0.905         |
| themisto_gaudichaudii         | egg_indet                     | Amphipod        | Other           | -0.21185 | 0.1044 | 0.0739 | 209   | 2922  | 2007 | FALSE      | 24845 | 209      | TRUE     | 17           | 0.708         |
| oikopleura_sp                 | themisto_gaudichaudii         | Appendicularian | Amphipod        | -0.20870 | 0.4227 | 0.1044 | 1289  | 11384 | 1842 | FALSE      | 15468 | 1289     | TRUE     | 21           | 0.875         |
| ctenocalanus_sp_cf_citer      | thysanoessa_macrura_f1        | Copepod         | Krill           | 0.20720  | 0.1998 | 0.0631 | 659   | 5332  | 1233 | FALSE      | 22759 | 659      | TRUE     | 11           | 0.647         |
| metridia_lucens               | egg_indet                     | Copepod         | Other           | -0.20686 | 0.1060 | 0.0739 | 229   | 2950  | 1987 | FALSE      | 24817 | 229      | TRUE     | 16           | 0.800         |
| rhincalanus_gigas_nauplius    | egg_indet                     | Copepod         | Other           | 0.20589  | 0.2821 | 0.0739 | 1125  | 7334  | 1091 | FALSE      | 20433 | 1091     | TRUE     | 17           | 0.850         |
| calanus_simillimus            | themisto_gaudichaudii         | Copepod         | Amphipod        | 0.20511  | 0.4924 | 0.1044 | 2028  | 12737 | 1103 | FALSE      | 14115 | 1103     | TRUE     | 21           | 0.875         |
| clausocalanus_brevipes        | hyperiidae_indet              | Copepod         | Amphipod        | 0.20268  | 0.3716 | 0.1171 | 1973  | 9168  | 1537 | FALSE      | 17305 | 1537     | TRUE     | 16           | 0.762         |
| neocalanus_tonsus             | thysanoessa_macrura_furcilia  | Copepod         | Krill           | -0.20174 | 0.0930 | 0.0655 | 86    | 2701  | 1879 | FALSE      | 25317 | 86       | TRUE     | 11           | 0.524         |
| rhincalanus_gigas_nauplius    | ctenocalanus_sp_cf_citer      | Copepod         | Copepod         | 0.19773  | 0.2821 | 0.1998 | 2348  | 6111  | 3643 | TRUE       | 17881 | 2348     | TRUE     | 12           | 0.571         |
| clausocalanus_laticeps        | euphausiidae_furcilia_indet   | Copepod         | Krill           | 0.19749  | 0.2775 | 0.1233 | 1560  | 6760  | 2138 | FALSE      | 19525 | 1560     | TRUE     | 16           | 0.842         |
| oikopleura_sp                 | ostracoda_indet               | Appendicularian | Other           | 0.19623  | 0.4227 | 0.1587 | 2724  | 9949  | 2035 | FALSE      | 15275 | 2035     | TRUE     | 20           | 0.952         |
| fritillaria_sp                | thysanoessa_macrura_furcilia  | Appendicularian | Krill           | -0.19549 | 0.5238 | 0.0655 | 771   | 14935 | 1194 | FALSE      | 13083 | 771      | TRUE     | 15           | 0.714         |
| small_calanoid_copepods       | euphausiidae_furcilia_indet   | Copepod         | Krill           | 0.19252  | 0.8941 | 0.1233 | 3577  | 23232 | 121  | FALSE      | 3053  | 121      | TRUE     | 19           | 0.826         |
| egg_indet                     | euphausiidae_calyptopis_indet | Other           | Krill           | 0.18748  | 0.0739 | 0.0613 | 257   | 1959  | 1580 | FALSE      | 26187 | 257      | TRUE     | 17           | 0.895         |
| euphausiidae_furcilia_indet   | thysanoessa_macrura_furcilia  | Krill           | Krill           | -0.18546 | 0.1233 | 0.0655 | 181   | 3517  | 1784 | TRUE       | 24501 | 181      | TRUE     | 14           | 0.667         |
| fritillaria_sp                | euphausiidae_calyptopis_indet | Appendicularian | Krill           | 0.18173  | 0.5238 | 0.0613 | 1116  | 14590 | 721  | FALSE      | 13556 | 721      | TRUE     | 19           | 0.950         |
| fritillaria_sp                | clausocalanus_laticeps        | Appendicularian | Copepod         | 0.18164  | 0.5238 | 0.2775 | 5441  | 10265 | 2879 | FALSE      | 11398 | 2879     | TRUE     | 16           | 0.800         |
| copepod_nauplius_indet        | euphausiidae_furcilia_indet   | Copepod         | Krill           | 0.18148  | 0.3308 | 0.1233 | 1567  | 8351  | 2131 | FALSE      | 17934 | 1567     | TRUE     | 16           | 0.842         |
| thysanoessa_macrura           | thysanoessa_macrura_f6        | Krill           | Krill           | 0.18033  | 0.1911 | 0.0728 | 561   | 5170  | 1623 | TRUE       | 22629 | 561      | TRUE     | 15           | 0.682         |
| thysanoessa_macrura           | eukrohnia_hamata              | Krill           | Chaetognath     | 0.17922  | 0.1911 | 0.0545 | 423   | 5308  | 1211 | FALSE      | 23041 | 423      | TRUE     | 20           | 0.909         |
| thysanoessa_macrura           | themisto_gaudichaudii         | Krill           | Amphipod        | 0.17332  | 0.1911 | 0.1044 | 712   | 5019  | 2419 | FALSE      | 21833 | 712      | TRUE     | 22           | 0.917         |
| thysanoessa_macrura           | thysanoessa_macrura_furcilia  | Krill           | Krill           | 0.17243  | 0.1911 | 0.0655 | 581   | 5150  | 1384 | TRUE       | 22868 | 581      | TRUE     | 15           | 0.652         |
| oithona_similis               | hyperiidae_indet              | Copepod         | Amphipod        | 0.16956  | 0.9206 | 0.1171 | 3352  | 24250 | 158  | FALSE      | 2223  | 158      | TRUE     | 21           | 1.000         |
| oikopleura_sp                 | thysanoessa_macrura           | Appendicularian | Krill           | 0.16721  | 0.4227 | 0.1911 | 2541  | 10132 | 3190 | FALSE      | 14120 | 2541     | TRUE     | 21           | 0.955         |
| rhincalanus_gigas_nauplius    | ostracoda_indet               | Copepod         | Other           | -0.16554 | 0.2821 | 0.1587 | 1267  | 7192  | 3492 | FALSE      | 18032 | 1267     | TRUE     | 20           | 1.000         |
| foraminifera                  | ostracoda_indet               | Foraminifera    | Other           | 0.16471  | 0.5150 | 0.1587 | 2882  | 12558 | 1877 | FALSE      | 12666 | 1877     | TRUE     | 20           | 0.952         |
| copepod_nauplius_indet        | chaetognath_indet             | Copepod         | Chaetognath     | -0.16324 | 0.3308 | 0.1168 | 1057  | 8861  | 2446 | FALSE      | 17619 | 1057     | TRUE     | 16           | 0.800         |
| chaetognath_indet             | themisto_gaudichaudii         | Chaetognath     | Amphipod        | -0.16131 | 0.1168 | 0.1044 | 312   | 3191  | 2819 | FALSE      | 23661 | 312      | TRUE     | 20           | 0.833         |
