+-------------------------------+-------------------------------+-----------------+-----------------+----------+--------+--------+-------+-------+------+------------+-------+----------+----------+--------------+---------------+
| sp1                           | sp2                           | grp1            | grp2            | theta    | prev1  | prev2  | n11   | n10   | n01  | same_group | n00   | min_cell | selected | years_shared | years_jaccard |
| copepod_nauplius_indet        | thysanoessa_macrura_furcilia  | Copepod         | Krill           | -1.06294 | 0.3308 | 0.0655 | 227   | 9691  | 1738 | FALSE      | 18327 | 227      | TRUE     | 11           | 0.524         |
| clausocalanus_brevipes        | clausocalanus_laticeps        | Copepod         | Copepod         | 1.03813  | 0.3716 | 0.2775 | 5633  | 5508  | 2687 | TRUE       | 16155 | 2687     | TRUE     | 16           | 1.000         |
| small_calanoid_copepods       | foraminifera                  | Copepod         | Foraminifera    | 1.02412  | 0.8941 | 0.5150 | 14435 | 12374 | 1005 | FALSE      | 2169  | 1005     | TRUE     | 21           | 0.913         |
| clausocalanus_laticeps        | metridia_lucens               | Copepod         | Copepod         | 1.00636  | 0.2775 | 0.1060 | 1952  | 6368  | 1227 | TRUE       | 20436 | 1227     | TRUE     | 16           | 0.842         |
| copepod_nauplius_indet        | rhincalanus_gigas_nauplius    | Copepod         | Copepod         | 1.00125  | 0.3308 | 0.2821 | 4837  | 5081  | 3622 | TRUE       | 16443 | 3622     | TRUE     | 16           | 0.800         |
| small_calanoid_copepods       | ostracoda_indet               | Copepod         | Other           | 0.96796  | 0.8941 | 0.1587 | 4584  | 22225 | 175  | FALSE      | 2999  | 175      | TRUE     | 20           | 0.870         |
| small_calanoid_copepods       | ctenocalanus_sp_cf_citer      | Copepod         | Copepod         | -0.93351 | 0.8941 | 0.1998 | 5316  | 21493 | 675  | TRUE       | 2499  | 675      | TRUE     | 13           | 0.565         |
| small_calanoid_copepods       | calanus_simillimus            | Copepod         | Copepod         | 0.91739  | 0.8941 | 0.4924 | 14227 | 12582 | 538  | TRUE       | 2636  | 538      | TRUE     | 21           | 0.913         |
| metridia_lucens               | neocalanus_tonsus             | Copepod         | Copepod         | 0.90616  | 0.1060 | 0.0930 | 799   | 2380  | 1988 | TRUE       | 24816 | 799      | TRUE     | 16           | 0.842         |
| copepod_nauplius_indet        | radiozoa                      | Copepod         | Other           | 0.90387  | 0.3308 | 0.0741 | 1577  | 8341  | 646  | FALSE      | 19419 | 646      | TRUE     | 10           | 0.556         |
| calanus_simillimus            | eukrohnia_hamata              | Copepod         | Chaetognath     | 0.90226  | 0.4924 | 0.0545 | 1150  | 13615 | 484  | FALSE      | 14734 | 484      | TRUE     | 20           | 0.952         |
| rhincalanus_gigas_nauplius    | calanoides_acutus             | Copepod         | Copepod         | 0.87103  | 0.2821 | 0.1624 | 2780  | 5679  | 2088 | TRUE       | 19436 | 2088     | TRUE     | 20           | 0.909         |
| clausocalanus_brevipes        | neocalanus_tonsus             | Copepod         | Copepod         | 0.86658  | 0.3716 | 0.0930 | 1567  | 9574  | 1220 | TRUE       | 17622 | 1220     | TRUE     | 16           | 1.000         |
| oithona_similis               | thysanoessa_macrura_furcilia  | Copepod         | Krill           | 0.86598  | 0.9206 | 0.0655 | 1910  | 25692 | 55   | FALSE      | 2326  | 55       | TRUE     | 15           | 0.682         |
| neocalanus_tonsus             | rhincalanus_gigas             | Copepod         | Copepod         | -0.85225 | 0.0930 | 0.0908 | 85    | 2702  | 2637 | TRUE       | 24559 | 85       | TRUE     | 16           | 0.800         |
